Código_individuo;Latitud_Grados_decimales;Longitud_Grados_decimales;Especie;Sexo;Sitio;Sustrato;Posición_arte;AÑO;Fecha_del_lance;Profundidad_max_(m);LT_(cm);LD_(cm);AD_(rayas)_/_Lprecaudal__o_LS_(tiburones)_cm;Long_Int_clasper_(cm);Calcif._Clasper_(NC-PC-CA);Semen_(Si-No);Peso_total_(g);Phig_(g);Pgon_(g);Pev_(g);Estadío
120615-Ddip02;24.30458;-110.18559;Dasyatis dipterura;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;93.5;44;50;;;;6000;250;40;4500;Juvenil
120615-Ddip03;24.30458;-110.18559;Dasyatis dipterura;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;122;62;69;;;;16000;779;159;14500;Adulto
120615-Dlon01;24.30458;-110.18559;Dasyatis longa;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;167;76.5;89;19;CA;;22000;579;501;20000;Adulto
120615-Ddip04;24.30458;-110.18559;Dasyatis dipterura;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;89.5;45.5;50;;;;5500;238;49;5000;Juvenil
120615-Ddip05;24.30458;-110.18559;Dasyatis dipterura;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;81.9;44;47.1;13.5;CA;Si;6000;229;201;5000;Adulto
120615-Dlon02;24.30458;-110.18559;Dasyatis longa;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;172.5;80;96;;;;22000;580;258;;Adulto
120615-Dlon03;24.30458;-110.18559;Dasyatis longa;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;154.8;74;88;19.5;CA;Si;22000;662;331;19500;Adulto
120615-Ddip06;24.30458;-110.18559;Dasyatis dipterura;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;92.5;47.7;52.5;;;;7500;265;46;7000;Juvenil
120615-Ddip07;24.30458;-110.18559;Dasyatis dipterura;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;106;56;61.5;;;;12500;668;128;11000;Juvenil
120615-Ddip08;24.30458;-110.18559;Dasyatis dipterura;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;83.5;43.5;52.5;;;;7000;221;38;6000;Juvenil
120615-Ddip09;24.30458;-110.18559;Dasyatis dipterura;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;86.5;46.5;50;;;;6500;270;41;5200;Juvenil
120615-Ddip10;24.30458;-110.18559;Dasyatis dipterura;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;92.5;47.3;51.5;;;;7000;346;57;5800;Juvenil
120615-Uhal01;24.30458;-110.18559;Urobatis halleri;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;38.5;23;21.5;5.2;PC;No;800;;;;No definido
120615-Ddip11;24.30458;-110.18559;Dasyatis dipterura;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;89.5;40.5;44.1;13;PC;Si;3400;214;83;2000;Adulto
120615-Ddip12;24.30458;-110.18559;Dasyatis dipterura;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;89;43.8;48;14.5;PC;Si;;;;;Adulto
120615-Zexa01;24.30458;-110.18559;Zapteryx exasperata;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;72.4;31;33.5;18;CA;Si;;91;62;;Adulto
120615-Zexa02;24.30458;-110.18559;Zapteryx exasperata;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;64.5;28.3;29;16;PC;No;;27;28;;Adulto
120615-Ddip13;24.30458;-110.18559;Dasyatis dipterura;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;98.5;48.5;47;;;;5900;208;35;5000;Juvenil
120615-Zexa03;24.30458;-110.18559;Zapteryx exasperata;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;69;30;31;18;CA;Si;2000;59;76;1400;Adulto
120615-Zexa04;24.30458;-110.18559;Zapteryx exasperata;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;;31;31;17.3;CA;Si;;;;;Adulto
120615-Hsp01;24.30458;-110.18559;Heterodontus sp;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;60.2;;;9.5;CA;Si;;;;;Adulto
120615-Hsp02;24.30458;-110.18559;Heterodontus sp;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;65.3;;;;;;;;;;No definido
120615-Rvel01;24.30458;-110.18559;Raja velezi;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;78.3;41.5;61;;;;;;;;No definido
120615-Rvel02;24.30458;-110.18559;Raja velezi;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;73.5;39.5;56.5;23;CA;No;;;;;Adulto
120615-Rvel03;24.30458;-110.18559;Raja velezi;Hembra;El Mono;Arena;Fondo;2015;11-jun-15;47.5;85.5;46.5;68;;;;;;;;No definido
120615-Zexa05;24.30458;-110.18559;Zapteryx exasperata;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;73.5;31.7;32;19;CA;Si;2800;74;69;;Adulto
120615-Zexa06;24.30458;-110.18559;Zapteryx exasperata;Macho;El Mono;Arena;Fondo;2015;11-jun-15;47.5;74.5;32.5;32.5;17.5;CA;Si;1800;60;68;;Adulto
130615-Zexa01;24.43346;-110.29728;Zapteryx exasperata;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;70.5;30.2;31.5;17;CA;Si;;;;;Adulto
130615-Zexa02;24.43346;-110.29728;Zapteryx exasperata;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;69.5;30.6;30;17.4;CA;Si;;;;;Adulto
130615-Zexa03;24.43346;-110.29728;Zapteryx exasperata;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;68;29.5;30;17;CA;Si;;;;;Adulto
130615-Mmun01;24.43346;-110.29728;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;78.6;41.2;67.6;5;NC;No;;;;;Juvenil
130615-Rsten01;24.43346;-110.29728;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;81.6;44;71.5;9.5;CA;Si;6500;192;180;5500;Adulto
130615-Rsten02;24.43346;-110.29728;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;74.8;40.7;66.5;8;CA;Si;5000;205;91;4500;Adulto
130615-Rsten03;24.43346;-110.29728;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;61.6;41.2;67;8.1;CA;Si;5200;243;94;4500;Adulto
130615-Rsten04;24.43346;-110.29728;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;74;44.5;73;9.1;CA;Si;7000;266;166;6000;Adulto
130615-Rsten05;24.43346;-110.29728;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;77;42.5;68.7;8.8;CA;Si;6000;334;130;5000;Adulto
130615-Ddip01;24.43346;-110.29728;Dasyatis dipterura;Hembra;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;118;64.7;69.6;;;;21000;770;100.7;17000;Preñada
130615-Rsten06;24.43346;-110.29728;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;73.6;44;73.1;10.2;CA;Si;7000;266;188;6000;Adulto
130615-Rsten07;24.43346;-110.29728;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;65.7;40.5;67.5;6;NC;No;5000;261;85;4500;Juvenil
130615-Rsten08;24.43346;-110.29728;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;66;40;64.3;7.6;CA;Si;5000;250;103;4500;Adulto
130615-Rsten09;24.43346;-110.29728;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;;39.9;67.3;6.3;PC;No;5200;245;119;4500;Juvenil
130615-Ddip02;24.43346;-110.29728;Dasyatis dipterura;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;57.5;32.3;37.4;4.1;NC;No;2800;120;30;2000;Juvenil
130615-Mcal01;24.43346;-110.29728;Myliobatis californica;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;95.3;36.2;60.5;7.1;CA;No;3100;120;;3000;Adulto
130615-Ddip03;24.43346;-110.29728;Dasyatis dipterura;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;;37;41;4.3;NC;No;3000;132;35;2100;Juvenil
130615-Nent01;24.43346;-110.29728;Narcine entemedor;Hembra;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;50;23.5;25;;;;1800;48;10;1700;Juvenil
130615-Zexa04;24.43346;-110.29728;Zapteryx exasperata;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;72;31.5;32.5;19;CA;Si;2000;53;50;1900;Adulto
130615-Zexa05;24.43346;-110.29728;Zapteryx exasperata;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;75;30.5;33.2;18.4;CA;Si;2200;56;51;1900;Adulto
130615-Zexa06;24.43346;-110.29728;Zapteryx exasperata;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;69.5;28.4;32;16.1;CA;Si;2000;71;47;1700;Adulto
130615-Zexa07;24.43346;-110.29728;Zapteryx exasperata;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;74.2;29.1;34.4;17.2;CA;Si;2200;85;48;1700;Adulto
130615-Zexa08;24.43346;-110.29728;Zapteryx exasperata;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;74;31.4;33.3;18;CA;Si;2000;74;55;1900;Adulto
130615-Zexa09;24.43346;-110.29728;Zapteryx exasperata;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;70.3;29;32.5;17.2;CA;Si;2000;63;58;1900;Adulto
130615-Zexa10;24.43346;-110.29728;Zapteryx exasperata;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;70;28.9;31;15.5;CA;Si;1900;88;42;1900;Adulto
130615-Zexa11;24.43346;-110.29728;Zapteryx exasperata;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;76;30;33;16;CA;Si;3000;63;50;2000;Adulto
130615-Mmun02;24.43346;-110.29728;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;;41.6;64;4.5;NC;No;;;;;Juvenil
130615-Mmun03;24.43346;-110.29728;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;69;43.2;67;5;NC;No;;;;;Juvenil
130615-Mmun04;24.43346;-110.29728;Mobula munkiana;Hembra;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;86;49.6;80;;;;;;;;Juvenil
130615-Mmun05;24.43346;-110.29728;Mobula munkiana;Hembra;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;80.6;43.5;67.6;;;;;;;;Juvenil
130615-Mmun06;24.43346;-110.29728;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;;50.2;78.3;5.5;NC;No;;;;;Juvenil
130615-Mmun07;24.43346;-110.29728;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;75.2;45.5;72;4.5;NC;No;;;;;Juvenil
130615-Mmun08;24.43346;-110.29728;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;;46.3;72.4;4.7;NC;No;;;;;Juvenil
130615-Mmun09;24.43346;-110.29728;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;65;45;73;4.5;NC;No;;;;;Juvenil
130615-Mmun10;24.43346;-110.29728;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;;45;70.5;;;;;;;;Juvenil
130615-Mmun11;24.43346;-110.29728;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;66;45.8;71;5;NC;No;;;;;Juvenil
130615-Mmun12;24.43346;-110.29728;Mobula munkiana;Hembra;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;;46.2;72.5;;;;;;;;Juvenil
130615-Mmun13;24.43346;-110.29728;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;;43.5;68.7;4.2;NC;No;;;;;Juvenil
130615-Mmun14;24.43346;-110.29728;Mobula munkiana;Hembra;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;;42.5;66.5;;;;;;;;Juvenil
130615-Mmun15;24.43346;-110.29728;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2015;12-jun-15;27.4;;43.6;69.8;5;NC;No;;;;;Juvenil
070415Urotrygon sp1;24.19694;-110.42269;Urotrygon spp;Macho;Cerca del Mogote;No indicado;Fondo;2015;4-jul-15;NA;;24.7;30;5;CA;Si;670;;;;Adulto
070415Urotrygon sp2;24.19694;-110.42269;Urotrygon cf munda;Macho;Cerca del Mogote;No indicado;Fondo;2015;4-jul-15;NA;40.2;21.7;22.6;4.8;CA;Si;444.4;;;;Adulto
070415Urotrygon sp3;24.19694;-110.42269;Urotrygon sp cf col;Macho;Cerca del Mogote;No indicado;Fondo;2015;4-jul-15;NA;56.5;31.5;36.5;6.6;CA;Si;1058.2;;;;Adulto
070415Urobatis sp1;24.19694;-110.42269;Urobatis halleri;Macho;Cerca del Mogote;No indicado;Fondo;2015;4-jul-15;NA;36.5;20.8;20.7;5.6;CA;Si;418;;;;Adulto
070415Rste01;24.19694;-110.42269;Rhinoptera stendachneri;Hembra;Cerca del Mogote;No indicado;Fondo;2015;4-jul-15;NA;66.5;23.3;40.1;;;;968.8;88.1;3.7;846.9;Neonato
140715Ddip01;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;75;36;39;4.2;NC;No;2160;123;20;1900;Juvenil
140715Ddip02;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;90;45;49;14.5;CA;si;4970;235;118;4370;Adulto
140715Ddip03;24.21787;-110.53237;Dasyatis dipterura;Hembra;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;83;42;43;;;;5420;282;69;4810;Juvenil
140715Ddip04;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;96;46;49;15;CA;si;5800;281;233;4830;Adulto
140715Ddip05;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;67;34;37;5;NC;No;2150;108;25;2030;Juvenil
140715Ddip06;24.21787;-110.53237;Dasyatis dipterura;Hembra;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;64;32;36;;;;2000;129;32;1750;Juvenil
140715Ddip07;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;81;39;42.5;7;NC;No;3370;160;39;3000;Juvenil
140715Ddip08;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;60.5;29;34;4;NC;No;1650;96;25;1470;Juvenil
140715Ddip09;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;67.5;33;37.5;5;NC;No;2370;132;41;2040;Juvenil
140715Nent01;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;55;24;27;;;;1930;95;116;1610;Preñada
140715Nent02;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;55;26;26.5;;;;1950;76;49;1640;Adulto
140715Nent03;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;59;26;28;;;;2006;72;31;1860;Adulto
140715Nent04;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;60;25.5;28;;;;2200;93;136;1980;Preñada
140715Nent05;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;63;28;31;;;;3000;117;220;2450;Preñada
140715Nent06;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;55.5;24;27;;;;2090;91;109;1710;Adulto
140715Rpro01;24.21787;-110.53237;Rhinobatos productus;Hembra;Campo Rodriguez;Arena;Fondo;2015;13-jul-15;10;67;27;23;;;;1300;47;164;1040;Preñada
150715_Mmun01;24.21787;-110.53237;Mobula munkiana;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;126.3;69.5;105.5;11.6;CA;si;13500;471;265;11570;Adulto
150715Nent01;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;61.5;28;29.5;;;;2820;127;31;2450;Adulto
150715Nent02;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;60.5;25.5;29.7;;;;2570;74;280;2440;Preñada
150715Nent03;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;62;28.5;31;;;;2860;129;26;2600;Juvenil
150715Nent04;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;65;26.5;30;;;;2700;119;26;2360;Juvenil
150715Nent05;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;60;28;28.5;;;;2550;109;19;2290;Juvenil
150715Nent06;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;60.7;26.3;29.3;;;;2700;113;47;2360;Adulto
150715Nent07;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;55.5;25;26;;;;1860;60;17;1700;Juvenil
150715Nent08;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;59;24;26.5;;;;1960;77;64;1780;Adulto
150715Nent09;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;60.7;24.8;29;;;;2550;117;75;2240;Adulto
150715Nent10;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;59.5;28;28;;;;2490;116;40;2180;Adulto
150715Nent11;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;69.5;30.2;32.6;;;;4060;196;289;3330;Preñada
150715Nent12;24.21787;-110.53237;Narcine entemedor;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;59;27;27;;;;2450;82;147;2050;Adulto
150715Mmun02;24.21787;-110.53237;Mobula munkiana;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;92;44;68;;;;3950;186;46;3620;Juvenil
150715Ddip01;24.21787;-110.53237;Dasyatis dipterura;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;82;41.5;44.5;;;;4200;158;50;3850;Juvenil
150715Ddip02;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;68.5;32.5;37;3.5;NC;No;1940;95;15;1670;Juvenil
150715Dlon01;24.21787;-110.53237;Dasyatis longa;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;87;33;39.5;;;;1770;86;12;1580;Juvenil
150715Ddip03;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;62.5;32.5;37;4;NC;No;2220;118;18;1810;Juvenil
150715Ddip04;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;67;33.5;38.5;4.5;NC;No;2310;146;28;2050;Juvenil
150715Ddip05;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;;31;36.2;3;NC;No;2120;130;18;1860;Juvenil
150715Ddip06;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;;32.5;36;3.8;NC;No;1900;100;16;1660;Juvenil
150715Ddip07;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;;44;48.5;12.5;PC;Si;5400;234;89;4780;Adulto
150715Ddip08;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;94;44.5;48;14.7;CA;Si;4940;181;73;4450;Adulto
150715Ddip09;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;66;34.5;38.4;4.5;NC;No;2480;142;21;2150;Juvenil
150715Ddip10;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;;38.3;42.5;6;NC;No;3280;132;33;2890;Juvenil
150715Ddip11;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;69;38;38;4.5;NC;No;2390;145;24;2020;Juvenil
150715Dlon02;24.21787;-110.53237;Dasyatis longa;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;87;33.8;40.4;2.2;NC;No;1720;73;13;1540;Neonato
150715Ddip12;24.21787;-110.53237;Dasyatis dipterura;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;78;34.5;39.3;;;;2570;146;32;2270;Juvenil
150715Ddip13;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;73;33.5;38.5;4;NC;No;2280;109;23;2000;Juvenil
150715Ddip14;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;62.5;31;36.5;3.7;NC;No;1800;94;16;1600;Juvenil
150715Ddip15;24.21787;-110.53237;Dasyatis dipterura;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;69.5;34;38.3;;;;2200;124;22;1980;Juvenil
150715Ddip16;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;71.3;33.6;37.2;4;NC;No;2230;132;22;1960;Juvenil
150715Ddip17;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;73.5;34.5;39.2;3.7;NC;No;2470;129;25;2100;Juvenil
150715Ddip18;24.21787;-110.53237;Dasyatis dipterura;Macho;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;82;44;47;11.5;PC;Si;4480;174;76;3900;Adulto
150715Ddip19;24.21787;-110.53237;Dasyatis dipterura;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;70.2;33.2;38;;;;2210;109;22;1930;Juvenil
150715Ddip20;24.21787;-110.53237;Dasyatis dipterura;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;74.5;35.5;41;;;;2750;155;22;2470;Juvenil
150715Dlon03;24.21787;-110.53237;Dasyatis longa;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;80;34.4;41;;;;1830;73;;1650;Juvenil
150715Ddip21;24.21787;-110.53237;Dasyatis dipterura;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;82.5;40;43.5;;;;3640;154;33;3140;Juvenil
150715Ddip22;24.21787;-110.53237;Dasyatis dipterura;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;68.4;34.5;38.5;;;;2330;117;21;2070;Juvenil
150715Rgla01;24.21787;-110.53237;Rhinobatos glaucostigma;Hembra;Campo Rodriguez;Arena;Fondo;2015;14-jul-15;10;66.7;26.2;23.1;;;;1230;50;130;980;Preñada
210715Rest01;24.39302;-110.33887;Rhinoptera stendachneri;Hembra;Las Navajas;Arena;Fondo;2015;20-jul-15;35;104;55;83;;;;9700;649;194;8500;Adulto
210715Rest02;24.39302;-110.33887;Rhinoptera stendachneri;Macho;Las Navajas;Arena;Fondo;2015;20-jul-15;35;67.5;35;61.6;5;NC;No;3300;218;42;2820;Juvenil
210715-Urobatis spp;24.39302;-110.33887;Urobatis halleri;Hembra;Las Navajas;Arena;Fondo;2015;20-jul-15;35;49;30.4;29;;;;;;;;Preñada
210715Rest03;24.39302;-110.33887;Rhinoptera stendachneri;Macho;Las Navajas;Arena;Fondo;2015;20-jul-15;35;92;52;80.5;11;CA;Si;;405;204;6600;Adulto
210715Rest04;24.39302;-110.33887;Rhinoptera stendachneri;Hembra;Las Navajas;Arena;Fondo;2015;20-jul-15;35;88;53;84;;;;9400;428;245;8060;Adulto
210715Rest05;24.39302;-110.33887;Rhinoptera stendachneri;Hembra;Las Navajas;Arena;Fondo;2015;20-jul-15;35;83;51;79.5;;;;8250;459;176;7220;Adulto
210715Ddip01;24.39302;-110.33887;Dasyatis dipterura;Macho;Las Navajas;Arena;Fondo;2015;20-jul-15;35;97;47;52;15;CA;Si;6400;236;183;5700;Adulto
210715Rest06;24.39302;-110.33887;Rhinoptera stendachneri;Macho;Las Navajas;Arena;Fondo;2015;20-jul-15;35;80.6;48.3;77.6;12;CA;Si;7400;459;128;6360;Adulto
210715Ddip02;24.39302;-110.33887;Dasyatis dipterura;Macho;Las Navajas;Arena;Fondo;2015;20-jul-15;35;78;37;42;;;;2740;90;27;2400;Adulto
210715Rest07;24.39302;-110.33887;Rhinoptera stendachneri;Macho;Las Navajas;Arena;Fondo;2015;20-jul-15;35;69;39;67.3;8;PC;;4550;209;86;3870;Juvenil
210715Rgle01;24.39302;-110.33887;Rhinobatos glaucostigma;Hembra;Las Navajas;Arena;Fondo;2015;20-jul-15;35;67;26;23;;;;900;;;;No definido
210715Nent01;24.39302;-110.33887;Narcine entemedor;Macho;Las Navajas;Arena;Fondo;2015;20-jul-15;35;50;21;22;10;CA;Si;1220;59;10;1100;Adulto
210715Nent02;24.39302;-110.33887;Narcine entemedor;Hembra;Las Navajas;Arena;Fondo;2015;20-jul-15;35;65;30;31.5;;;;2890;106;58;2470;Adulto
210715Nent03;24.39302;-110.33887;Narcine entemedor;Hembra;Las Navajas;Arena;Fondo;2015;20-jul-15;35;65;30;32;;;;3180;110;249;2500;Adulto
210715Nent04;24.39302;-110.33887;Narcine entemedor;Macho;Las Navajas;Arena;Fondo;2015;20-jul-15;35;42.8;19.5;20;7.6;CA;Si;840;38;9;740;Adulto
210715Nent05;24.39302;-110.33887;Narcine entemedor;Hembra;Las Navajas;Arena;Fondo;2015;20-jul-15;35;67;29;31;;;;2955;81;100;2500;Adulto
210715Nent06;24.39302;-110.33887;Narcine entemedor;Macho;Las Navajas;Arena;Fondo;2015;20-jul-15;35;55.5;24.5;24.2;10.2;CA;Si;1600;84;17;1520;Adulto
210715Nent07;24.39302;-110.33887;Narcine entemedor;Macho;Las Navajas;Arena;Fondo;2015;20-jul-15;35;53;24;24;10;CA;Si;1500;45;19;1380;Adulto
210715Nent08;24.39302;-110.33887;Narcine entemedor;Hembra;Las Navajas;Arena;Fondo;2015;20-jul-15;35;53.5;24;25;;;;1600;81;13;1390;Juvenil
